World Rank	Institution	Location	National Rank	Education Rank	Employability Rank	Faculty Rank	Research Rank	Score
821	Northern Arizona University	USA	187	-	1104	-	784	71.4
822	Northern Illinois University	USA	188	-	779	-	791	71.4
823	University of Concepción	Chile	3	-	-	-	786	71.4
824	Tomsk State University	Russia	13	-	-	-	787	71.4
825	University of Basilicata	Italy	42	-	-	-	788	71.4
826	National Centre for Nuclear Research	Poland	7	-	-	-	789	71.4
827	National Sun Yat-sen University	Taiwan	12	-	1263	-	794	71.3
828	Polytechnic University of Bari	Italy	43	-	-	-	793	71.3
829	University of Nevada, Las Vegas	USA	189	-	864	-	795	71.3
830	Miami University	USA	190	-	110	-	987	71.3
831	Cranfield University	United Kingdom	52	-	201	-	893	71.3
832	University of Wrocław	Poland	8	477	1428	258	869	71.3
833	Graz University of Technology	Austria	9	-	-	-	796	71.3
834	Indian Institute of Technology Kanpur	India	11	-	371	-	836	71.3
835	Liverpool John Moores University	United Kingdom	53	-	-	-	798	71.3
836	Shandong Normal University	China	120	-	-	-	799	71.3
837	Murdoch University	Australia	25	-	887	-	806	71.3
838	University of Denver	USA	191	-	169	-	931	71.3
839	University of Toledo	USA	192	-	-	-	801	71.3
840	University of L'Aquila	Italy	44	-	-	-	802	71.3
841	Indian Institute of Technology Roorkee	India	12	-	288	-	855	71.3
842	Hangzhou Normal University	China	121	-	1577	-	803	71.2
843	Dongguk University	South Korea	27	-	532	-	825	71.2
844	National University of Malaysia (UKM)	Malaysia	4	-	-	-	804	71.2
845	Kindai University	Japan	27	-	-	-	805	71.2
846	Tokushima University	Japan	28	74	769	-	980	71.2
847	Hasselt University	Belgium	8	-	749	-	812	71.2
848	University of Alicante	Spain	29	-	-	-	807	71.2
849	Carlos III University of Madrid	Spain	30	-	-	-	808	71.2
850	Juntendo University	Japan	29	-	-	-	809	71.2
851	Graduate University for Advanced Studies	Japan	30	-	-	-	810	71.2
852	University of Technology, Malaysia	Malaysia	5	-	-	-	811	71.2
853	Ryerson University	Canada	25	-	-	-	813	71.2
854	University of Luxembourg	Luxembourg	1	-	-	-	814	71.2
855	Nagasaki University	Japan	31	299	475	-	847	71.2
